language_ID,filename,meansynratio,meanmorphratio,syn.sd,morph.sd,area,language_name,latitude,longitude,glottocode,region,macro_region,country_id,language_type,abbr,spread,migration,contact_languages,contact_languages_names,all_L1,natives,non_natives,ewave,corpus
82,HEB_021,0.942236866080895,-0.963132578318941,0.0233979665032876,0.0141405085188867,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_022,0.945638602173844,-0.963586044139167,0.0265034899124521,0.0151609505613312,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_023,0.941859418730013,-0.967456313951293,0.0249904387409165,0.0158428576955536,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_024,0.942148705496913,-0.964514673554103,0.0215725232397328,0.0149477937342124,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_025,0.94231917524468,-0.969132656421292,0.0218339298879046,0.0175874576742089,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_026,0.941811881544447,-0.965195495238612,0.0247259805939408,0.0160769080669074,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_027,0.943479511122192,-0.961617238172101,0.0262111218602196,0.0127425178061251,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_028,0.94062322975574,-0.967054821645284,0.0221506029541296,0.0168173091424094,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_029,0.947162876983825,-0.965112539533554,0.0241486625954911,0.0147877958370976,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_030,0.943175679797696,-0.965231290137004,0.0237857580555198,0.0155687340504795,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_031,0.943814902384715,-0.966523994602604,0.0219149712227263,0.0154493895046455,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_032,0.945537029321124,-0.964506562361044,0.0241583376769669,0.0157320491586385,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_033,0.945811313633403,-0.965784680421773,0.0232231708200528,0.0144728299251287,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_034,0.944410119374347,-0.963989975649787,0.022955905384107,0.0142458055889685,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_035,0.946975240115086,-0.963750244140176,0.024561002253687,0.0138473890639143,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_036,0.943253080193903,-0.963531350919879,0.0268801202131192,0.0151135854544632,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_037,0.941359132404958,-0.967276544915063,0.0203084139093124,0.0151007386776705,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_038,0.945306025851726,-0.96485596642698,0.0261032596138593,0.0160079624877246,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
